X:-150.0,Y:150.0,Z:0.0,type:start,
X:-30.0,Y:20.0,Z:0.0,type:goal,
X:-200.0,Y:0.0,Z:0.0,type:block,
X:-180.0,Y:0.0,Z:0.0,type:block,
X:-160.0,Y:0.0,Z:0.0,type:block,
X:-140.0,Y:0.0,Z:0.0,type:block,
X:-120.0,Y:0.0,Z:0.0,type:block,
X:-100.0,Y:0.0,Z:0.0,type:block,
X:-80.0,Y:0.0,Z:0.0,type:block,
X:-60.0,Y:0.0,Z:0.0,type:block,
X:-40.0,Y:0.0,Z:0.0,type:block,
X:-20.0,Y:0.0,Z:0.0,type:block,
X:0.0,Y:0.0,Z:0.0,type:block,
X:20.0,Y:0.0,Z:0.0,type:block,
X:40.0,Y:0.0,Z:0.0,type:block,
X:60.0,Y:0.0,Z:0.0,type:block,
X:80.0,Y:0.0,Z:0.0,type:block,
X:100.0,Y:0.0,Z:0.0,type:block,
X:120.0,Y:0.0,Z:0.0,type:block,
X:140.0,Y:0.0,Z:0.0,type:block,
X:160.0,Y:0.0,Z:0.0,type:block,
X:180.0,Y:0.0,Z:0.0,type:block,
X:195.0,Y:0.0,Z:0.0,type:block,
X:200.0,Y:0.0,Z:0.0,type:block,
X:-170.0,Y:20.0,Z:0.0,type:block,
X:170.0,Y:20.0,Z:0.0,type:block,
X:0.0,Y:20.0,Z:0.0,type:block,
X:0.0,Y:40.0,Z:0.0,type:block,
X:0.0,Y:60.0,Z:0.0,type:block,
X:0.0,Y:80.0,Z:0.0,type:block,
X:0.0,Y:100.0,Z:0.0,type:block,
X:0.0,Y:120.0,Z:0.0,type:block,
X:-170.0,Y:40.0,Z:0.0,type:block,
X:-170.0,Y:60.0,Z:0.0,type:block,
X:-170.0,Y:80.0,Z:0.0,type:block,
X:-170.0,Y:100.0,Z:0.0,type:block,
X:-170.0,Y:120.0,Z:0.0,type:block,
X:-190.0,Y:120.0,Z:0.0,type:block,
X:-210.0,Y:120.0,Z:0.0,type:block,
X:-230.0,Y:120.0,Z:0.0,type:block,
X:-250.0,Y:120.0,Z:0.0,type:block,
X:-270.0,Y:120.0,Z:0.0,type:block,
X:-290.0,Y:120.0,Z:0.0,type:block,
X:-310.0,Y:120.0,Z:0.0,type:block,
